libId,algn_seg_with_mult_algn,aligned,alignment_not_unique,ambiguous,bad_cycles,category,coding_bases,correct_strand_reads,estimated_library_size,fastq_total_reads,ignored_reads,incorrect_strand_reads,intergenic_bases,intronic_bases,library,mean_read_length,median_3prime_bias,median_5prime_bias,median_5prime_to_3prime_bias,median_cv_coverage,no_feature,not_aligned,pct_adapter,pct_chimeras,pct_coding_bases,pct_correct_strand_reads,pct_intergenic_bases,pct_intronic_bases,pct_mrna_bases,pct_pf_reads,pct_pf_reads_aligned,pct_reads_aligned_in_pairs,pct_ribosomal_bases,pct_usable_bases,pct_utr_bases,percent_duplication,pf_aligned_bases,pf_bases,pf_hq_aligned_bases,pf_hq_aligned_q20_bases,pf_hq_aligned_reads,pf_hq_error_rate,pf_hq_median_mismatches,pf_indel_rate,pf_mismatch_rate,pf_noise_reads,pf_reads,pf_reads_aligned,read_pair_duplicates,read_pair_optical_duplicates,read_pairs_examined,reads_aligned_in_pairs,reads_aligned_sam,reads_with_mult_align,ribosomal_bases,strand_balance,too_low_aQual,total_reads,unmapped_reads,unpaired_read_duplicates,unpaired_reads_examined,utr_bases,mapped_reads_w_dups
lib68847_AAAM5GYM5,98.8,73.3,727663,238257,0.0,FIRST_OF_PAIR,171401212.0,1835499.0,8342921.0,5344200.0,0.0,1833240.0,56545904.0,96329505.0,Unknown Library,56.589131,0.846269,0.572889,0.6846,0.383906,1228214,0,0.0,0.004598,0.401804,0.500308,0.132557,0.225819,0.636369,1.0,0.992685,0.993766,0.005334,0.630515,0.234565,0.250626,426578645.0,430539448.0,203061619.0,199907636.0,3588489.0,0.001876,0.0,0.000117,0.002003,0.0,3810812.0,3782935.0,1237519.0,0.0,4996871.0,3759352.0,3916507.0,3871281.0,2275204.0,0.500038,0,3810812.0,86251.0,51276.0,86284.0,100060323.0,0.9511535870663523
lib68848_AAAM5GYM5,98.7,75.2,861703,328027,0.0,FIRST_OF_PAIR,231905111.0,2497398.0,10552069.0,6410377.0,0.0,2496453.0,47202480.0,105183832.0,Unknown Library,56.654744,0.859607,0.562755,0.680536,0.390121,1197167,0,0.0,0.004889,0.442963,0.500095,0.090162,0.200912,0.703223,1.0,0.993136,0.993129,0.005784,0.697151,0.260261,0.242843,523532134.0,528091994.0,249688962.0,245735955.0,4406736.0,0.00181,0.0,0.000109,0.001911,0.0,4673840.0,4641757.0,1449573.0,0.0,6059436.0,4609863.0,4820609.0,4757312.0,3027907.0,0.500147,0,4673840.0,116004.0,72013.0,116031.0,136254915.0,0.9633547293708311
lib68849_AAAM5GYM5,98.9,75.5,840702,222929,0.0,FIRST_OF_PAIR,160004352.0,1725609.0,10461499.0,5903470.0,0.0,1726123.0,90049834.0,139134684.0,Unknown Library,56.577305,0.844338,0.556449,0.672423,0.39477,1852981,0,0.0,0.005286,0.328835,0.499926,0.185067,0.285944,0.522549,1.0,0.992611,0.992371,0.006562,0.517798,0.193714,0.225665,486579742.0,491043635.0,232205586.0,228296532.0,4103565.0,0.00195,0.0,0.000114,0.002087,0.0,4350731.0,4318585.0,1228131.0,0.0,5513769.0,4285638.0,4457950.0,4408949.0,3193035.0,0.499841,0,4350731.0,103408.0,55613.0,103462.0,94257299.0,0.9515134319307119
lib68850_AAAM5GYM5,98.8,75.0,762929,228932,0.0,FIRST_OF_PAIR,159922030.0,1733371.0,9551483.0,5490986.0,0.0,1731520.0,73097586.0,116968473.0,Unknown Library,56.624917,0.836176,0.553555,0.669183,0.39511,1527501,0,0.0,0.005616,0.356323,0.500267,0.162869,0.260618,0.569248,1.0,0.992954,0.991941,0.007402,0.56374,0.212925,0.228437,448811681.0,453196749.0,214353374.0,210916232.0,3787844.0,0.001929,0.0,0.000116,0.002065,0.0,4014348.0,3986064.0,1150074.0,0.0,5104015.0,3953941.0,4116125.0,4068031.0,3322090.0,0.499798,0,4014348.0,99450.0,54476.0,99496.0,95563091.0,0.9476460147594622
lib68851_AAAM5GYM5,98.5,73.6,909066,428922,0.0,FIRST_OF_PAIR,294863341.0,3085309.0,10732563.0,7236691.0,0.0,3083133.0,31426118.0,84575828.0,Unknown Library,56.627296,0.836243,0.583048,0.702573,0.402768,884214,0,0.0,0.005939,0.511663,0.500176,0.054532,0.146761,0.793664,1.0,0.992377,0.994415,0.005117,0.786819,0.282001,0.265539,576283965.0,581297413.0,274788464.0,270273829.0,4848987.0,0.001781,0.0,0.000107,0.001839,0.0,5143871.0,5104661.0,1797978.0,0.0,6874131.0,5076153.0,5325290.0,5246604.0,2948986.0,0.500134,0,5143871.0,130516.0,89408.0,130542.0,162512662.0,0.9679386614683424
lib68852_AAAM5GYM5,98.7,73.2,1046621,387752,0.0,FIRST_OF_PAIR,271005507.0,2855249.0,11107051.0,7559858.0,0.0,2850560.0,62009432.0,113216019.0,Unknown Library,56.641755,0.825315,0.569292,0.691618,0.392768,1378088,0,0.0,0.00488,0.451482,0.500411,0.103305,0.188612,0.703197,1.0,0.992706,0.994458,0.004966,0.697357,0.251715,0.266675,600257781.0,605284986.0,285857413.0,281352118.0,5043191.0,0.001809,0.0,0.000112,0.001892,0.0,5353073.0,5314026.0,1888964.0,0.0,7173539.0,5284575.0,5531309.0,5460141.0,2980792.0,0.500073,0,5353073.0,124397.0,81258.0,124432.0,151093993.0,0.9653582117547711
lib68853_AAAM5GYM5,98.8,74.0,1132139,304387,0.0,FIRST_OF_PAIR,213683714.0,2255070.0,10809130.0,6956848.0,0.0,2249757.0,87029452.0,133642236.0,Unknown Library,56.61569,0.827773,0.574781,0.702679,0.400231,1753027,0,0.0,0.005082,0.382131,0.50059,0.155635,0.238993,0.598753,1.0,0.992541,0.993751,0.006736,0.593608,0.216622,0.253811,559188996.0,564036029.0,265624193.0,261405191.0,4688910.0,0.001883,0.0,0.000114,0.001982,0.0,4991246.0,4954017.0,1646758.0,0.0,6569819.0,4923061.0,5150219.0,5088331.0,3766599.0,0.50031,0,4991246.0,116574.0,71068.0,116618.0,121132426.0,0.9611302417416623
lib68854_AAAM5GYM5,98.8,74.6,780299,327437,0.0,FIRST_OF_PAIR,228240776.0,2375345.0,9833575.0,6024936.0,0.0,2369755.0,49630559.0,84855714.0,Unknown Library,56.599477,0.838595,0.558505,0.684241,0.39479,1063630,0,0.0,0.00469,0.46573,0.500589,0.101272,0.17315,0.720415,1.0,0.992534,0.994497,0.005243,0.714139,0.254685,0.243865,490071228.0,494378110.0,233324152.0,229552796.0,4120766.0,0.001852,0.0,0.000111,0.001947,0.0,4373788.0,4341134.0,1367444.0,0.0,5684689.0,4317245.0,4492828.0,4438596.0,2569449.0,0.499676,0,4373788.0,97336.0,61446.0,97365.0,124813760.0,0.9596872066358879
lib68855_AAAM5GYM5,98.7,74.1,918596,350999,0.0,FIRST_OF_PAIR,248771118.0,2570470.0,10129456.0,6446646.0,0.0,2569544.0,50638118.0,84917573.0,Unknown Library,56.613033,0.816069,0.563979,0.722122,0.403434,1065192,0,0.0,0.004126,0.479563,0.50009,0.097617,0.163698,0.733691,1.0,0.99274,0.99448,0.005076,0.727013,0.254128,0.251702,518744937.0,523509810.0,246217087.0,242350146.0,4349338.0,0.001791,0.0,0.000105,0.001876,0.0,4631807.0,4598181.0,1509444.0,0.0,6082245.0,4572801.0,4777756.0,4716900.0,2633277.0,0.500354,0,4631807.0,107193.0,69931.0,107240.0,131827559.0,0.960109334373254
lib68856_AAAM5GYM5,98.6,73.3,933931,354953,0.0,FIRST_OF_PAIR,245177067.0,2592578.0,10046861.0,6717684.0,0.0,2592282.0,47549768.0,97384347.0,Unknown Library,56.661248,0.837278,0.56898,0.689354,0.402184,1129817,0,0.0,0.005704,0.459622,0.500029,0.089139,0.182562,0.722694,1.0,0.992823,0.993615,0.005692,0.716023,0.263071,0.261889,533431480.0,538401361.0,253881824.0,249829294.0,4481546.0,0.001798,0.0,0.00011,0.00188,0.0,4762860.0,4728676.0,1635732.0,0.0,6334217.0,4698485.0,4926712.0,4858859.0,3036072.0,0.499758,0,4762860.0,120069.0,77710.0,120102.0,140330459.0,0.9607952681310999
